"Normal1, 111th Right d2.npy",27,129,234,271,345,458,983,1080,1196,1239,1315,1429
"Normal1, 115th Right d2.npy",22,129,243,280,362,493,1032,1142,1250,1287,1369,1494
"Normal1, 119th Right d2.npy",22,132,251,300,376,487,1060,1171,1276,1315,1398,1525
"Normal1, 125th Right d2.npy",24,121,226,268,334,444,969,1074,1182,1225,1293,1400
"Normal1, 157th Right d2.npy",22,127,232,280,351,461,989,1091,1202,1250,1321,1440
"Normal1, 161th Right d2.npy",24,132,243,288,365,484,981,1091,1196,1247,1330,1443
"Normal1, 183th Left d2.npy",24,127,209,249,339,464,986,1091,1176,1222,1313,1429
"Normal1, 187th Left d2.npy",27,124,217,266,339,467,978,1083,1176,1216,1307,1432
"Normal1, 187th Right d2.npy",19,124,223,260,339,447,975,1077,1182,1219,1307,1415
"Normal1, 205th Left d2.npy",24,135,232,280,413,518,966,1074,1179,1219,1330,1432
"Normal1, 205th Right d2.npy",24,127,232,280,362,484,964,1071,1182,1227,1318,1432
"Normal1, 213th Right d2.npy",22,135,246,305,388,518,1054,1168,1278,1321,1409,1534
"Normal1, 219th Right d2.npy",22,124,226,266,336,464,961,1063,1171,1213,1293,1406
"Normal1, 223th Right d2.npy",19,127,229,271,354,467,986,1097,1208,1250,1335,1452
"Normal1, 227th Right d2.npy",27,141,251,291,371,493,1015,1128,1244,1278,1372,1497
"Normal1, 231th Right d2.npy",27,144,260,311,399,524,1026,1137,1259,1307,1398,1528
"Normal1, 235th Right d2.npy",30,138,249,294,379,504,1017,1131,1244,1293,1369,1491
"Normal1, 239th Right d2.npy",24,132,249,291,373,498,1063,1171,1270,1310,1392,1514
"Normal1, 259th Left d2.npy",24,132,234,271,351,481,1040,1148,1256,1304,1392,1477
"Normal1, 269th Right d2.npy",19,132,246,288,373,498,1009,1120,1230,1273,1366,1488
"Normal1, 273th Right d2.npy",22,141,246,297,388,512,1015,1131,1233,1278,1381,1511
"Normal1, 281th Right d2.npy",19,124,234,285,373,493,1037,1148,1242,1293,1383,1500
"Normal1, 285th Left d2.npy",24,138,232,291,399,518,1060,1171,1264,1307,1418,1545
"Normal1, 285th Right d2.npy",16,127,229,288,373,507,1046,1162,1273,1321,1400,1531
"Normal1, 287th Left d2.npy",22,129,232,288,385,493,989,1105,1205,1250,1355,1469
"Normal1, 287th Right d2.npy",19,127,240,291,373,490,986,1097,1208,1253,1338,1466
"Normal1, 289th Right d2.npy",19,135,249,294,382,515,1060,1171,1273,1318,1406,1537
"Normal1, 69th Right d2.npy",22,121,217,277,345,458,981,1080,1179,1236,1313,1418
"Normal1, 73th Right d2.npy",22,115,217,263,334,439,952,1043,1151,1208,1276,1386
"Normal1, 77th Right d2.npy",24,115,214,263,331,439,969,1066,1173,1213,1298,1398
"Normal1, 81th Right d2.npy",22,112,206,249,314,410,929,1020,1125,1165,1236,1335
"Normal1, 85th Right d2.npy",19,112,203,249,317,416,975,1074,1165,1213,1284,1400
"Normal1, 89th Right d2.npy",22,118,217,268,342,456,981,1077,1191,1239,1315,1426
"Normal10, 379th Left d2.npy"
"Normal10, 379th Right d2.npy",388,487,589,646,739,836,1188,1290,1383,1454,1548,1656
"Normal11, 159th Right d2.npy",27,149,240,288,382,510,998,1108,1213,1267,1369,1494
"Normal11, 163th Left d2.npy",24,141,226,277,379,495,1063,1188,1267,1318,1418,1537
"Normal11, 165th Left d2.npy",30,152,243,297,410,546,1046,1176,1264,1321,1432,1576
"Normal11, 165th Right d2.npy",33,149,246,308,407,544,1046,1162,1267,1318,1429,1574
"Normal11, 173th Left d2.npy",27,146,237,291,388,510,1020,1131,1233,1290,1389,1505
"Normal11, 173th Right d2.npy",27,141,237,291,390,501,1015,1128,1233,1287,1389,1497
"Normal11, 183th Left d2.npy",22,115,200,249,328,424,1015,1111,1193,1239,1315,1426
"Normal11, 193th Left d2.npy",24,127,214,271,359,490,966,1074,1159,1216,1310,1418
"Normal11, 201th Left d2.npy",27,144,251,314,405,518,1057,1168,1261,1315,1418,1545
"Normal11, 205th Left d2.npy",22,121,206,263,354,441,915,1017,1105,1168,1259,1352
"Normal11, 205th Right d2.npy",24,112,203,266,359,458,912,1015,1100,1159,1261,1347
